strategy,sample_id,risk,citation_hit,forbidden_blocked,decision,pass,notes
baseline,er-01,过期/错地域引用,1,0,needs_human_review,0,forbidden_source_in_context
baseline,er-02,跨客户资料污染,1,0,needs_human_review,0,forbidden_source_in_context
baseline,er-03,未审查资料被引用,1,0,needs_human_review,0,forbidden_source_in_context
baseline,er-04,非官方价格承诺,1,0,needs_human_review,0,forbidden_source_in_context
baseline,er-05,二手报道当一手事实,1,0,needs_human_review,0,forbidden_source_in_context
governed,er-01,过期/错地域引用,1,1,answer_with_citation,1,
governed,er-02,跨客户资料污染,1,1,answer_with_citation,1,
governed,er-03,未审查资料被引用,1,1,answer_with_citation,1,
governed,er-04,非官方价格承诺,1,1,answer_with_citation,1,
governed,er-05,二手报道当一手事实,1,1,answer_with_citation,1,
